Lexeme		Token
      #		Special symbol
include		Identifier
  stdio		Identifier
      h		Identifier
    int		Keyword
   main		Identifier
      (		Special symbol
      )		Special symbol
      {		Special symbol
 printf		Identifier
      (		Special symbol
      "		Special symbol
  Hello		Identifier
      "		Special symbol
      )		Special symbol
      ;		Special symbol
    int		Keyword
      a		Identifier
      =		Operator
      a		Identifier
      /		Operator
      2		Digit
      ;		Special symbol
 return		Keyword
      0		Digit
      ;		Special symbol
      }		Special symbol
